# energy grid [eV]     JDOS [1/eV]
# Co_t2g  Co_eg
                   8.263772955                   0.000026169
                   8.288814691                   0.000016794
                   8.313856427                   0.000010475
                   8.338898164                   0.000006346
                   8.363939900                   0.000003732
                   8.388981636                   0.000002130
                   8.414023372                   0.000001179
                   8.439065109                   0.000000634
                   8.464106845                   0.000000331
                   8.489148581                   0.000000169
                   8.514190317                   0.000000088
                   8.539232053                   0.000000054
                   8.564273790                   0.000000053
                   8.589315526                   0.000000084
                   8.614357262                   0.000000165
                   8.639398998                   0.000000333
                   8.664440735                   0.000000662
                   8.689482471                   0.000001277
                   8.714524207                   0.000002391
                   8.739565943                   0.000004337
                   8.764607679                   0.000007625
                   8.789649416                   0.000012992
                   8.814691152                   0.000021453
                   8.839732888                   0.000034330
                   8.864774624                   0.000053241
                   8.889816361                   0.000080020
                   8.914858097                   0.000116557
                   8.939899833                   0.000164535
                   8.964941569                   0.000225094
                   8.989983306                   0.000298436
                   9.015025042                   0.000383461
                   9.040066778                   0.000477502
                   9.065108514                   0.000576251
                   9.090150250                   0.000673957
                   9.115191987                   0.000763900
                   9.140233723                   0.000839124
                   9.165275459                   0.000893313
                   9.190317195                   0.000921667
                   9.215358932                   0.000921611
                   9.240400668                   0.000893195
                   9.265442404                   0.000839098
                   9.290484140                   0.000764253
                   9.315525876                   0.000675153
                   9.340567613                   0.000579003
                   9.365609349                   0.000482868
                   9.390651085                   0.000392974
                   9.415692821                   0.000314242
                   9.440734558                   0.000250101
                   9.465776294                   0.000202529
                   9.490818030                   0.000172257
                   9.515859766                   0.000159048
                   9.540901503                   0.000161961
                   9.565943239                   0.000179563
                   9.590984975                   0.000210091
                   9.616026711                   0.000251555
                   9.641068447                   0.000301854
                   9.666110184                   0.000358902
                   9.691151920                   0.000420805
                   9.716193656                   0.000486028
                   9.741235392                   0.000553534
                   9.766277129                   0.000622813
                   9.791318865                   0.000693762
                   9.816360601                   0.000766404
                   9.841402337                   0.000840497
                   9.866444073                   0.000915125
                   9.891485810                   0.000988402
                   9.916527546                   0.001057401
                   9.941569282                   0.001118398
                   9.966611018                   0.001167399
                   9.991652755                   0.001200873
                  10.016694491                   0.001216500
                  10.041736227                   0.001213760
                  10.066777963                   0.001194173
                  10.091819699                   0.001161114
                  10.116861436                   0.001119207
                  10.141903172                   0.001073443
                  10.166944908                   0.001028208
                  10.191986644                   0.000986463
                  10.217028381                   0.000949256
